Tiempo,Las_Ferias_CO_pmm
1,0.7641715277777777
2,0.6289520958083832
3,0.5152796407185628
4,0.5035555555555555
5,0.7187071428571429
6,0.8327881944444444
7,0.9374005988023951
8,0.9685220238095239
9,0.7488748502994012
10,0.8927014184397164
11,1.1415636904761906
12,0.9795256097560976
13,0.6585666666666666
14,0.8321256944444444
15,0.3093397435897436
16,0.399664375
17,0.7274012048192771
18,0.844973611111111
19,0.6195181818181819
20,0.4658207317073171
21,0.7135613095238095
22,0.7478361445783133
23,0.7534034722222223
24,0.6723120481927711
25,0.8900814371257485
26,0.6552869047619048
27,0.6044486111111111
28,0.7769982142857143
29,0.8651820359281437
30,0.7564556886227545
31,0.8146624242424242
32,0.8795333333333333
33,
34,
35,0.59182
36,0.9589006944444445
37,0.5100883333333334
38,
39,0.7529520833333333
40,0.6878609589041096
41,0.8120571428571429
42,0.752188622754491
43,0.7840692771084337
44,0.5860969879518073
45,0.7252297101449275
46,0.7874309523809524
47,1.1294198795180723
48,0.5807700598802396
49,0.5742548611111111
50,1.0387315476190477
51,1.0537011904761906
52,1.1059383333333335
53,0.5654402777777778
