Tiempo,Kennedy_CO_pmm
1,0.7273299479166666
2,0.6896921428571429
3,0.8031436904761906
4,0.7915044311377246
5,0.8569978443113773
6,0.9074079393939394
7,0.8311225595238095
8,0.7746435329341317
9,0.7421251204819277
10,0.8814027976190476
11,0.774091856287425
12,0.7135704191616766
13,0.8378641916167664
14,0.8594123809523809
15,0.7773055357142857
16,0.725137365269461
17,0.807457090909091
18,0.7497367469879518
19,0.8369264071856287
20,0.9482326347305389
21,1.000335748502994
22,0.8599315624999999
23,0.8087042857142858
24,0.8531932934131737
25,0.810480239520958
26,0.9176156886227544
27,0.6775213690476191
28,0.7548374404761905
29,0.8648965868263472
30,0.8791406586826347
31,0.8343810778443115
32,0.7963767469879519
33,0.9362099404761904
34,0.6702203592814371
35,0.5434599371069182
36,0.8060524698795181
37,0.6173236585365853
38,0.8399371856287425
39,0.698143869047619
40,0.7184250299401197
41,0.7133226785714286
42,0.8303959523809523
43,0.7647589221556886
44,0.809808606060606
45,0.80815125748503
46,0.5600643975903615
47,0.5247875308641975
48,0.8857864880952381
49,0.9105126666666666
50,0.6629880722891567
51,0.9549174251497007
52,0.8906025748502994
