y2018,y2019,y2020,y2021
885,997,819,1274
960,1141,1216,1445
970,914,1179,1478
867,811,961,1594
998,722,936,953
956,729,906,1366
1070,1106,1063,1507
1238,1069,1240,1674
1234,1062,1541,1339
1437,1383,1453,1212
1611,1403,1534,958
1787,1594,1353,1270
1577,1787,1216,1273
1412,2048,911,1428
1563,2430,779,1673
1848,2012,704,1996
2061,1874,731,2211
2074,1890,778,2265
2182,1879,614,1851
2067,1948,899,2407
2246,1863,735,2343
2175,1792,929,1965
2305,2019,859,1791
2076,1903,1001,2539
1996,1678,1012,2511
1726,1534,1165,2389
1595,1488,1671,2591
1513,1424,1817,2368
1263,1475,1911,2225
1428,1224,2413,2079
1185,1344,2147,1736
1394,1362,1998,1329
1208,1071,1663,1372
1245,1194,1642,1296
1096,1247,1740,1550
1148,1215,1437,1375
1202,1166,1730,1220
994,1080,1354,1139
1233,1147,1315,1235
1099,1129,1341,1275
1169,1028,1122,1181
1071,1226,1286,1126
1023,1133,1145,1127
983,981,1119,1164
1119,1216,1227,
1262,1404,849,
1255,1209,1071,
1309,1167,1008,
1100,1136,1022,
1184,1070,1235,
1001,983,1360,
861,863,1346,
,,863,
