Tiempo,Puente_Aranda_CO_pmm
1,0.7516286363636364
2,0.9841681034482759
3,0.6651970833333334
4,0.7830802976190476
5,0.9578769047619047
6,0.779987578125
7,0.7862504861111111
8,0.723382994011976
9,0.897476130952381
10,0.871445
11,0.9465165277777778
12,0.7947375449101797
13,0.8698656547619047
14,0.8656553472222223
15,0.8749626388888889
16,0.7713499404761905
17,0.878060361445783
18,0.9911787586206897
19,0.6387072727272727
20,0.6975531547619047
21,0.6088082142857143
22,0.7921755208333333
23,0.7626432738095238
24,0.5941587234042554
25,0.6542742857142857
26,0.7276550595238095
27,0.809611488095238
28,0.6028584027777778
29,0.4967518452380953
30,0.6318389285714285
31,0.8403838095238095
32,0.704364014084507
33,0.6958428571428572
34,0.6260290476190477
35,0.8151026530612244
36,0.6986298192771084
37,1.0527074647887324
38,0.7867873125
39,0.50815
40,0.7972801190476191
41,0.8775117307692307
42,0.7339172222222222
43,0.7896634523809523
44,0.9243886746987952
45,0.7317516071428571
46,1.1802789759036145
47,1.089314761904762
48,0.9266935087719299
49,0.7615168263473054
50,0.8136903571428572
51,0.814624251497006
52,0.6467214285714286
